[INFO] ----- STARTING NETWORK STRESS TEST -----
[INFO] ----- ASYNC CLEANUP STARTED -----
[INFO] ns119 got IP: 192.168.1.106/24
[INFO] ns193 got IP: 192.168.1.109/24
[INFO] ns107 got IP: 192.168.1.10/24
[INFO] ns28 got IP: 192.168.1.129/24
[INFO] ns140 got IP: 192.168.1.187/24
[INFO] ns108 got IP: 192.168.1.15/24
[INFO] ns21 got IP: 192.168.1.43/24
[INFO] ns59 got IP: 192.168.1.231/24
[INFO] ns136 got IP: 192.168.1.180/24
[INFO] ns178 got IP: 192.168.1.190/24
[INFO] ns189 got IP: 192.168.1.191/24
[INFO] ns14 got IP: 192.168.1.218/24
[INFO] ns169 got IP: 192.168.1.85/24
[INFO] ns8 got IP: 192.168.1.213/24
[INFO] ns61 got IP: 192.168.1.227/24
[INFO] ns80 got IP: 192.168.1.195/24
[INFO] ns118 got IP: 192.168.1.66/24
[INFO] ns142 got IP: 192.168.1.200/24
[INFO] ns27 got IP: 192.168.1.89/24
[INFO] ns69 got IP: 192.168.1.81/24
[INFO] ns105 got IP: 192.168.1.139/24
[INFO] ns86 got IP: 192.168.1.183/24
[INFO] ns94 got IP: 192.168.1.155/24
[INFO] ns165 got IP: 192.168.1.78/24
[INFO] ns194 got IP: 192.168.1.31/24
[INFO] ns176 got IP: 192.168.1.162/24
[INFO] ns75 got IP: 192.168.1.64/24
[INFO] ns153 got IP: 192.168.1.247/24
[INFO] ns152 got IP: 192.168.1.18/24
[INFO] ns55 got IP: 192.168.1.238/24
[INFO] ns103 got IP: 192.168.1.8/24
[INFO] ns112 got IP: 192.168.1.60/24
[INFO] ns45 got IP: 192.168.1.141/24
[INFO] ns78 got IP: 192.168.1.117/24
[INFO] ns148 got IP: 192.168.1.26/24
[INFO] ns146 got IP: 192.168.1.14/24
[INFO] ns171 got IP: 192.168.1.156/24
[INFO] ns46 got IP: 192.168.1.140/24
[INFO] ns133 got IP: 192.168.1.159/24
[INFO] ns170 got IP: 192.168.1.108/24
[INFO] ns31 got IP: 192.168.1.54/24
[INFO] ns56 got IP: 192.168.1.233/24
[INFO] ns166 got IP: 192.168.1.104/24
[INFO] ns122 got IP: 192.168.1.97/24
[INFO] ns174 got IP: 192.168.1.125/24
[INFO] ns40 got IP: 192.168.1.138/24
[INFO] ns102 got IP: 192.168.1.9/24
[INFO] ns9 got IP: 192.168.1.217/24
[INFO] ns149 got IP: 192.168.1.19/24
[INFO] ns25 got IP: 192.168.1.48/24
[INFO] ns177 got IP: 192.168.1.188/24
[INFO] ns141 got IP: 192.168.1.161/24
[INFO] ns158 got IP: 192.168.1.253/24
[INFO] ns195 got IP: 192.168.1.2/24
[INFO] ns137 got IP: 192.168.1.160/24
[INFO] ns162 got IP: 192.168.1.74/24
[INFO] ns24 got IP: 192.168.1.47/24
[INFO] ns11 got IP: 192.168.1.214/24
[INFO] ns81 got IP: 192.168.1.145/24
[INFO] ns185 got IP: 192.168.1.169/24
[INFO] ns43 got IP: 192.168.1.137/24
[INFO] ns19 got IP: 192.168.1.41/24
[INFO] ns26 got IP: 192.168.1.49/24
[INFO] ns33 got IP: 192.168.1.133/24
[INFO] ns5 got IP: 192.168.1.208/24
[INFO] ns192 got IP: 192.168.1.249/24
[INFO] ns117 got IP: 192.168.1.67/24
[INFO] ns132 got IP: 192.168.1.165/24
[INFO] ns89 got IP: 192.168.1.146/24
[INFO] ns63 got IP: 192.168.1.234/24
[INFO] ns123 got IP: 192.168.1.76/24
[INFO] ns37 got IP: 192.168.1.135/24
[INFO] ns143 got IP: 192.168.1.166/24
[INFO] ns4 got IP: 192.168.1.209/24
[INFO] ----- ONLY 200 / 200 got IP ------
[INFO] Created 200 namespaces successfully.
[INFO] STATUS: 200 clients successfully created and assigned IP addresses.
[INFO] ----- END CLEANING PROCESS STARTS -----
[INFO] ----- ASYNC CLEANUP STARTED -----
[INFO] All clients deleted successfully.
[INFO] ----- CLEANUP DONE SUCCESSFULLY -----
